nombre,descripcion,tipo de dato,unidades,valores posibles,valores especiales/faltantes,estadisticas basicas,fuente original,transformaciones,notas
id,Identificador único del repositorio.,int64,KB,30 valores únicos,0,"{'count': 30.0, 'mean': 116596421.7, 'std': 114813944.03975926, 'min': 4772877.0, '25%': 15739203.0, '50%': 70778086.0, '75%': 226772072.25, 'max': 320462039.0}",https://api.github.com/,"ID codificado, entero positivo",
node_id,ID interno codificado de GitHub para el repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'MDEwOlJlcG9zaXRvcnk0MTY0NTExOQ==', 'freq': 1}",https://api.github.com/,"ID codificado, entero positivo",
name,Nombre corto del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': '2018', 'freq': 1}",https://api.github.com/,,
full_name,Nombre completo del repositorio incluyendo el propietario.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'jtleek/2018', 'freq': 1}",https://api.github.com/,,
private,Indica si el repositorio es privado.,bool,,[False],0,"{'count': 30, 'unique': 1, 'top': False, 'freq': 30}",https://api.github.com/,,
owner,Información completa del propietario del repositorio (estructura anidada).,object,,"[""{'login': 'jtleek', 'id': 1571674, 'node_id': 'MDQ6VXNlcjE1NzE2NzQ=', 'avatar_url': 'https://avatars.githubusercontent.com/u/1571674?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jtleek', 'html_url': 'https://github.com/jtleek', 'followers_url': 'https://api.github.com/users/jtleek/followers', 'following_url': 'https://api.github.com/users/jtleek/following{/other_user}', 'gists_url': 'https://api.github.com/users/jtleek/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jtleek/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jtleek/subscriptions', 'organizations_url': 'https://api.github.com/users/jtleek/orgs', 'repos_url': 'https://api.github.com/users/jtleek/repos', 'events_url': 'https://api.github.com/users/jtleek/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jtleek/received_events', 'type': 'User', 'site_admin': False}""]",0,"{'unique': 1, 'top': ""{'login': 'jtleek', 'id': 1571674, 'node_id': 'MDQ6VXNlcjE1NzE2NzQ=', 'avatar_url': 'https://avatars.githubusercontent.com/u/1571674?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jtleek', 'html_url': 'https://github.com/jtleek', 'followers_url': 'https://api.github.com/users/jtleek/followers', 'following_url': 'https://api.github.com/users/jtleek/following{/other_user}', 'gists_url': 'https://api.github.com/users/jtleek/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jtleek/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jtleek/subscriptions', 'organizations_url': 'https://api.github.com/users/jtleek/orgs', 'repos_url': 'https://api.github.com/users/jtleek/repos', 'events_url': 'https://api.github.com/users/jtleek/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jtleek/received_events', 'type': 'User', 'site_admin': False}"", 'freq': 30}",https://api.github.com/,,
html_url,Enlace web directo al repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://github.com/jtleek/2018', 'freq': 1}",https://api.github.com/,,
description,Descripción textual del repositorio proporcionada por el autor.,object,,23 valores únicos,7,"{'unique': 23, 'top': 'A career planning guide.', 'freq': 1}",https://api.github.com/,,
fork,Indica si el repositorio es un fork de otro repositorio.,bool,,"[True, False]",0,"{'count': 30, 'unique': 2, 'top': False, 'freq': 20}",https://api.github.com/,,
url,URL de acceso a través de la API de GitHub al repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018', 'freq': 1}",https://api.github.com/,,
forks_url,URL de la API para acceder a los forks del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/forks', 'freq': 1}",https://api.github.com/,,
keys_url,URL de la API para acceder a las llaves del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/keys{/key_id}', 'freq': 1}",https://api.github.com/,,
collaborators_url,URL de la API para acceder a los colaboradores del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/collaborators{/collaborator}', 'freq': 1}",https://api.github.com/,,
teams_url,URL de la API para acceder a los equipos del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/teams', 'freq': 1}",https://api.github.com/,,
hooks_url,URL de la API para acceder a los hooks del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/hooks', 'freq': 1}",https://api.github.com/,,
issue_events_url,URL de la API para eventos de issues del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/issues/events{/number}', 'freq': 1}",https://api.github.com/,,
events_url,URL de la API para eventos del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/events', 'freq': 1}",https://api.github.com/,,
assignees_url,URL de la API para acceder a los asignados del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/assignees{/user}', 'freq': 1}",https://api.github.com/,,
branches_url,URL de la API para acceder a las ramas del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/branches{/branch}', 'freq': 1}",https://api.github.com/,,
tags_url,URL de la API para acceder a las etiquetas del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/tags', 'freq': 1}",https://api.github.com/,,
blobs_url,URL de la API para acceder a los blobs del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/git/blobs{/sha}', 'freq': 1}",https://api.github.com/,,
git_tags_url,URL de la API para acceder a las etiquetas de Git.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/git/tags{/sha}', 'freq': 1}",https://api.github.com/,,
git_refs_url,URL de la API para acceder a las referencias de Git.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/git/refs{/sha}', 'freq': 1}",https://api.github.com/,,
trees_url,URL de la API para acceder a los árboles de Git.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/git/trees{/sha}', 'freq': 1}",https://api.github.com/,,
statuses_url,URL de la API para acceder al estado de los commits.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/statuses/{sha}', 'freq': 1}",https://api.github.com/,,
languages_url,URL de la API para acceder al uso de lenguajes.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/languages', 'freq': 1}",https://api.github.com/,,
stargazers_url,URL de la API para acceder a los stargazers.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/stargazers', 'freq': 1}",https://api.github.com/,,
contributors_url,URL de la API para acceder a los contribuidores.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/contributors', 'freq': 1}",https://api.github.com/,,
subscribers_url,URL de la API para acceder a los suscriptores.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/subscribers', 'freq': 1}",https://api.github.com/,,
subscription_url,URL de la API para acceder al estado de suscripción.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/subscription', 'freq': 1}",https://api.github.com/,,
commits_url,URL de la API para acceder a los commits.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/commits{/sha}', 'freq': 1}",https://api.github.com/,,
git_commits_url,URL de la API para acceder a los commits de Git.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/git/commits{/sha}', 'freq': 1}",https://api.github.com/,,
comments_url,URL de la API para acceder a los comentarios.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/comments{/number}', 'freq': 1}",https://api.github.com/,,
issue_comment_url,URL de la API para comentarios de issues.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/issues/comments{/number}', 'freq': 1}",https://api.github.com/,,
contents_url,URL de la API para acceder al contenido del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/contents/{+path}', 'freq': 1}",https://api.github.com/,,
compare_url,URL de la API para comparar ramas o commits.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/compare/{base}...{head}', 'freq': 1}",https://api.github.com/,,
merges_url,URL de la API para hacer merges.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/merges', 'freq': 1}",https://api.github.com/,,
archive_url,URL de la API para descargar el repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/{archive_format}{/ref}', 'freq': 1}",https://api.github.com/,,
downloads_url,URL de la API para acceder a issues.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/downloads', 'freq': 1}",https://api.github.com/,,
issues_url,URL de la API para acceder a pull requests.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/issues{/number}', 'freq': 1}",https://api.github.com/,,
pulls_url,URL de la API para acceder a hitos del repositorio.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/pulls{/number}', 'freq': 1}",https://api.github.com/,,
milestones_url,URL de la API para acceder a notificaciones.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/milestones{/number}', 'freq': 1}",https://api.github.com/,,
notifications_url,URL de la API para acceder a etiquetas.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/notifications{?since,all,participating}', 'freq': 1}",https://api.github.com/,,
labels_url,URL de la API para acceder a los lanzamientos.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/labels{/name}', 'freq': 1}",https://api.github.com/,,
releases_url,URL de la API para acceder a despliegues.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/releases{/id}', 'freq': 1}",https://api.github.com/,,
deployments_url,URL de la API para acceder a despliegues.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://api.github.com/repos/jtleek/2018/deployments', 'freq': 1}",https://api.github.com/,,
created_at,Fecha de creación del repositorio.,object,fecha T hora Zona horaria (%Y-%m-%dT%H:%M:%SZ),30 valores únicos,0,"{'unique': 30, 'top': '2012-06-24T14:36:20Z', 'freq': 1}",https://api.github.com/,Fecha en formato ISO 8601,
updated_at,Fecha de última actualización del repositorio.,object,fecha T hora Zona horaria (%Y-%m-%dT%H:%M:%SZ),30 valores únicos,0,"{'unique': 30, 'top': '2013-08-08T13:20:42Z', 'freq': 1}",https://api.github.com/,Fecha en formato ISO 8601,
pushed_at,Fecha del último push al repositorio.,object,fecha T hora Zona horaria (%Y-%m-%dT%H:%M:%SZ),30 valores únicos,0,"{'unique': 30, 'top': '2012-06-24T14:38:18Z', 'freq': 1}",https://api.github.com/,Fecha en formato ISO 8601,
git_url,URL para clonar el repositorio vía Git.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'git://github.com/jtleek/2018.git', 'freq': 1}",https://api.github.com/,,
ssh_url,URL para clonar el repositorio vía SSH.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'git@github.com:jtleek/2018.git', 'freq': 1}",https://api.github.com/,,
clone_url,URL para clonar el repositorio vía HTTPS.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://github.com/jtleek/2018.git', 'freq': 1}",https://api.github.com/,,
svn_url,URL para acceder al repositorio vía SVN.,object,,30 valores únicos,0,"{'unique': 30, 'top': 'https://github.com/jtleek/2018', 'freq': 1}",https://api.github.com/,,
